brand,breadcrumb,care_instructions,category,color,composition,currency,images,material_composition,pdp_url,product_description,product_name,promotion_description,rating,regular_price,review,selling_price,size,style,timestamp,unique_id
M&S,Home > Women > Dresses,"Wash at 40°C delicate, Do not bleach, Tumble dry medium temperature, Iron at medium temperature, Do not dry clean",Dresses,Denim,100% cotton (exclusive of trimmings),GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_8000D_HP_X_EC_0/Pure-Cotton-Denim-Midi-Shirt-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_8000D_HP_X_EC_90/Pure-Cotton-Denim-Midi-Shirt-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_8000D_HP_X_EC_1/Pure-Cotton-Denim-Midi-Shirt-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_8000D_HP_X_EC_2/Pure-Cotton-Denim-Midi-Shirt-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_8000D_HP_X_EC_3/Pure-Cotton-Denim-Midi-Shirt-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_8000D_HP_X_EC_4/Pure-Cotton-Denim-Midi-Shirt-Dress",100% cotton (exclusive of trimmings),https://www.marksandspencer.com/pure-cotton-denim-midi-shirt-dress/p/clp60778348,"Breeze through the warmer months in timeless style courtesy of this denim shirt dress. It's designed in a regular fit, with a button-through fastening and an elasticated self-tie belt that cinches the waist. This short-sleeved piece is finished with a shirttail hem and contrast stitching for added interest.
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",Pure Cotton Denim Midi Shirt Dress,N/A,N/A,46,N/A,46,"10, 12, 14, 16, 18, 6, 8, Petite, Regular, Tall","Regular fit, Button fastening",2026-01-16T11:43:26.819698Z,T428000D
M&S,Home > Women > Dresses > Midi Dresses,"Wash at 30°C, Do not bleach, Do not tumble dry, Iron at low temperature, Professional dry clean",Midi Dresses,Red,"95% viscose, 5% elastane",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8096G_B0_X_EC_0/Jersey-V-Neck-Button-Through-Empire-Line-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8096G_B0_X_EC_1/Jersey-V-Neck-Button-Through-Empire-Line-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8096G_B0_X_EC_2/Jersey-V-Neck-Button-Through-Empire-Line-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8096G_B0_X_EC_3/Jersey-V-Neck-Button-Through-Empire-Line-Midi-Tea-Dress","95% viscose, 5% elastane",https://www.marksandspencer.com/jersey-v-neck-button-through-empire-line-midi-tea-dress/p/clp23031203?color=RED,"This versatile Finery London tea dress is crafted from soft jersey for a comfortable feel. It's cut to a regular fit, with a V-neckline and under-bust seams for a flattering empire line silhouette. The short puff-sleeved design is finished with contrasting buttons that run down the front to a midi-length hem.",Jersey V-Neck Button Through Empire Line Midi Tea Dress,Online only,3.83,45,6,45,"10, 12, 14, 16, 18, 20, 22, 24, 8","Regular fit, Button fastening, Unlined",2026-01-16T11:43:31.000175Z,T838096G
M&S,Home > Women > Dresses > Midi Dresses,"Wash at 30°C, Do not bleach, Do not tumble dry, Iron at low temperature, Professional dry clean",Midi Dresses,Red Mix,"96% polyester, 4% elastane",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9090E_B4_X_EC_0/Crepe-Printed-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9090E_B4_X_EC_1/Crepe-Printed-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9090E_B4_X_EC_2/Crepe-Printed-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9090E_B4_X_EC_3/Crepe-Printed-Midi-Tea-Dress","96% polyester, 4% elastane",https://www.marksandspencer.com/crepe-printed-midi-tea-dress/p/clp23022884,"This crepe tea dress from Finery London offers versatility for any occasion, perfect for casual wear. It's made in a comfortable regular fit with elegant shirring at the waist to create a flattering silhouette. The short puff sleeves and crew neckline add a fashionable touch, while the ditsy printed fabric brings a fashionable element to this long midi-length dress. An elasticated waist ensures all-day comfort whether you're at work or enjoying the weekend.",Crepe Printed Midi Tea Dress,Online only,5,39,4,39,"10, 12, 14, 16, 18, 20, 22, 24, 8","Regular fit, Elasticated waist, Unlined",2026-01-16T11:43:33.114392Z,T839090E
M&S,Home > Women > Dresses > Midi Dresses,Machine wash according to instructions on care label,Midi Dresses,White Mix,"52% cotton, 48% modal",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_10_T83_4638D_Z4_X_EC_0/Jersey-Printed-V-Neck-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_10_T83_4638D_Z4_X_EC_90/Jersey-Printed-V-Neck-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_10_T83_4638D_Z4_X_EC_1/Jersey-Printed-V-Neck-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_10_T83_4638D_Z4_X_EC_2/Jersey-Printed-V-Neck-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_10_T83_4638D_Z4_X_EC_3/Jersey-Printed-V-Neck-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_10_T83_4638D_Z4_X_EC_4/Jersey-Printed-V-Neck-Midi-Tea-Dress","52% cotton, 48% modal",https://www.marksandspencer.com/jersey-printed-v-neck-midi-tea-dress/p/clp22612694,"Bring a feminine feel to your ensemble with this cotton-blend tea dress by White Stuff. It's crafted in a regular fit from soft jersey fabric that moves with you. The v-neckline and slightly puffed short sleeves create a flattering silhouette, while the midi-length hem offers versatile styling. It's complete with an abstract print for a playful finish.",Jersey Printed V-Neck Midi Tea Dress,Online only,N/A,65,N/A,65,22,Regular fit,2026-01-16T11:43:35.936660Z,T834638D
M&S,Home > Women > Dresses,"Hand wash only, Do not bleach, Do not tumble dry, Do not iron, Do not dry clean",Dresses,N/A,"90% wool, 10% cashmere",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T82_6770_KC_X_EC_0/Wool-Rich-Roll-Neck-Midi-Jumper-Dress","90% wool, 10% cashmere",https://www.marksandspencer.com/wool-rich-roll-neck-midi-jumper-dress/p/clp22603961?color=OATMEAL,"Knitted from a wool-rich yarn blended with a touch of luxurious cashmere, this jumper dress from Chinti & Parker offers softness and warmth. The regular fit creates an effortlessly elegant silhouette, while the snug roll neck adds cosy comfort. Long sleeves and a midi-length hem give this sweater a contemporary edge that's perfect for seasonal styling.",Wool Rich Roll Neck Midi Jumper Dress,Online only,3.5,150,2,150,"Large, Rating","Regular fit, Lined",2026-01-16T11:43:38.584315Z,T826770
M&S,Home > Women > Dresses,"Wash at 40°C delicate, Do not bleach, Tumble dry low temperature, Iron at medium temperature, Do not dry clean",Dresses,Raspberry,"55% linen, 45% viscose (exclusive of trimmings), Lace trim - 100% cotton",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T52_8844_BV_X_EC_90/Linen-Rich-Scoop-Neck-Lace-Insert-Midi-Waisted-Dress","55% linen, 45% viscose (exclusive of trimmings), Lace trim - 100% cotton",https://www.marksandspencer.com/linen-rich-scoop-neck-lace-insert-midi-waisted-dress/p/clp60781161,"This linen-rich dress is a breathable addition to your warm-weather wardrobe. It's designed in a regular fit, with a scoop neckline and airy adjustable straps. The midi-length skirt features a lace insert for a romantic feel. This piece is finished with a button fastening at the back. 

M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",Linen Rich Scoop Neck Lace Insert Midi Waisted Dress,New,N/A,50,N/A,50,"10, 12, 14, 16, 18, 20, 22, 24, 6, 8, Petite, Regular, Tall","Regular fit, Button fastening",2026-01-16T11:43:42.032278Z,T528844
M&S,Home > Women > Dresses > Midi Dresses,"Wash at 40°C delicate, Do not bleach, Tumble dry low temperature, Iron at low temperature, Do not dry clean",Midi Dresses,Soft White,"100% cotton (exclusive of trimmings), Embroidery threads - 100% polyester",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T52_0023_P6_X_EC_0/Pure-Cotton-Textured-Midi-Beach-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T52_0023_P6_X_EC_90/Pure-Cotton-Textured-Midi-Beach-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T52_0023_P6_X_EC_1/Pure-Cotton-Textured-Midi-Beach-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T52_0023_P6_X_EC_2/Pure-Cotton-Textured-Midi-Beach-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T52_0023_P6_X_EC_3/Pure-Cotton-Textured-Midi-Beach-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T52_0023_P6_X_EC_4/Pure-Cotton-Textured-Midi-Beach-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T52_0023_P6_X_EC_5/Pure-Cotton-Textured-Midi-Beach-Dress","100% cotton (exclusive of trimmings), Embroidery threads - 100% polyester",https://www.marksandspencer.com/pure-cotton-textured-midi-beach-dress/p/clp60774980,"This pure cotton beach dress is a pretty choice for sunny days. It's designed in a regular fit, with a scoop neckline and a tie fastening at the back. The midi-length skirt is tiered for extra fluttery movement. An all-over floral print and textured fabric add the finishing touch. M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",Pure Cotton Textured Midi Beach Dress,N/A,N/A,56,N/A,56,"Extra Small, Large, Medium, Small",Regular fit,2026-01-16T11:43:45.737689Z,T520023
M&S,Home > Women > Dresses > Midi Dresses,"Wash at 30°C, Do not bleach, Do not tumble dry, Iron at low temperature, Professional dry clean",Midi Dresses,Navy Mix,"96% polyester, 4% elastane",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9083Q_F4_X_EC_0/Crepe-Floral-V-Neck-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9083Q_F4_X_EC_1/Crepe-Floral-V-Neck-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9083Q_F4_X_EC_2/Crepe-Floral-V-Neck-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9083Q_F4_X_EC_3/Crepe-Floral-V-Neck-Midi-Tea-Dress","96% polyester, 4% elastane",https://www.marksandspencer.com/crepe-floral-v-neck-midi-tea-dress/p/clp23026495,"This floral tea dress from Finery London is all about effortless femininity. It's made to a regular fit from a crease-free crepe to keep its smart looks all day, and features an empire seam under the v-neckline that adds a flattering shape to the midi-length silhouette. Tie details on the short puff sleeves complete the piece with pretty detail, and it fastens with an invisible zip on the side.",Crepe Floral V-Neck Midi Tea Dress,Online only,1,39,1,39,"10, 12, 14, 16, 18, 20, 22, 24","Regular fit, Unlined",2026-01-16T11:43:48.700770Z,T839083Q
M&S,Home > Women > Dresses,"Wash at 30°C, Do not bleach, Do not tumble dry, Iron at low temperature, Professional dry clean",Dresses,Red,100% polyester,GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9050L_B0_X_EC_0/Georgette-Textured-Shirred-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9050L_B0_X_EC_1/Georgette-Textured-Shirred-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9050L_B0_X_EC_2/Georgette-Textured-Shirred-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9050L_B0_X_EC_3/Georgette-Textured-Shirred-Midi-Tea-Dress",100% polyester,https://www.marksandspencer.com/georgette-textured-shirred-midi-tea-dress/p/clp23022910?color=RED,"With its lightweight georgette fabric and dobby texture, this Finery London tea dress is a pretty choice for smart occasions. It's cut in a comfy regular fit, with a shirred bodice for a figure-flattering look. The midi-length skirt is tiered for extra fluttery movement, while a neat ruffle at the crew neckline provides an elegant finish.",Georgette Textured Shirred Midi Tea Dress,Online only,5,59,3,59,"10, 12, 14, 16, 18, 20, 22, 24, 8","Regular fit, Back button fastening, Unlined",2026-01-16T11:43:51.466492Z,T839050L
M&S,Home > Women > Dresses > Midi Dresses,"Wash at 40°C delicate, Do not bleach, Tumble dry low temperature, Iron at low temperature, Professional dry clean",Midi Dresses,Cream,"49% polyester, 37% acrylic, 11% wool and 3% elastane (exclusive of trimmings)",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T38_8872_K0_X_EC_0/Crew-Neck-Knitted-Dress-with-Wool, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T38_8872_K0_X_EC_90/Crew-Neck-Knitted-Dress-with-Wool, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T38_8872_K0_X_EC_1/Crew-Neck-Knitted-Dress-with-Wool, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T38_8872_K0_X_EC_2/Crew-Neck-Knitted-Dress-with-Wool, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T38_8872_K0_X_EC_3/Crew-Neck-Knitted-Dress-with-Wool, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T38_8872_K0_X_EC_4/Crew-Neck-Knitted-Dress-with-Wool","49% polyester, 37% acrylic, 11% wool and 3% elastane (exclusive of trimmings)",https://www.marksandspencer.com/crew-neck-knitted-dress-with-wool/p/clp60781556,"This midi-length knitted dress is a sophisticated choice for cooler days. It's cut to a sleek slim fit, with a crew neckline and added stretch for comfort. The reverse seam detailing on the sleeves adds a refined finish.

M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",Crew Neck Knitted Dress with Wool,N/A,4.55,36,11,36,"Extra Large, Extra Small, Large, Medium, Small","Slim fit, Crew neck, Added Stretch",2026-01-16T11:43:54.335978Z,T388872
M&S,Home > Women > Dresses > Midi Dresses,"Wash at 30°C, Do not bleach, Do not tumble dry, Iron at low temperature, Professional dry clean",Midi Dresses,Indigo,100% cotton,GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9176J_XB_X_EC_0/Pure-Cotton-Denim-Midi-Relaxed-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9176J_XB_X_EC_1/Pure-Cotton-Denim-Midi-Relaxed-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9176J_XB_X_EC_2/Pure-Cotton-Denim-Midi-Relaxed-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_9176J_XB_X_EC_3/Pure-Cotton-Denim-Midi-Relaxed-Dress",100% cotton,https://www.marksandspencer.com/pure-cotton-denim-midi-dress/p/clp23040392,"This Baukjen dress is crafted from pure cotton denim for a laid-back vibe. It comes in a relaxed fit, with tiers in the midi-length skirt adding graceful movement to the easy silhouette. A zip on the collared neckline adds a casual, modern element, while the long sleeves are gathered with button cuffs for a feminine touch. Side pockets complete the piece with practical detail.",Pure Cotton Denim Midi Relaxed Dress,Online only,N/A,179,N/A,179,"10, 12, 14, 16, 18, 6, 8","Relaxed fit, Zip fastening, Unlined",2026-01-16T11:43:57.221866Z,T839176J
M&S,Home > Women > Dresses > Midi Dresses,"Wash at 30°C, Do not bleach, Do not tumble dry, Iron at low temperature, Professional dry clean",Midi Dresses,Green,"50% cotton, 50% viscose",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8725Q_J0_X_EC_0/Cotton-Blend-Gingham-V-Neck-Midi-Smock-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8725Q_J0_X_EC_1/Cotton-Blend-Gingham-V-Neck-Midi-Smock-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8725Q_J0_X_EC_2/Cotton-Blend-Gingham-V-Neck-Midi-Smock-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8725Q_J0_X_EC_3/Cotton-Blend-Gingham-V-Neck-Midi-Smock-Dress","50% cotton, 50% viscose",https://www.marksandspencer.com/cotton-blend-gingham-v-neck-midi-smock-dress/p/clp23026454?color=GREEN,"Light and breezy, this seersucker smock dress from Finery London is perfect for effortless casual summer style. It's cut in a regular fit with a flattering waist seam that creates an elegant silhouette. The V-neckline and button-through front add a touch of sophistication, while practical side pockets add to its everyday appeal. Short blouson sleeves give this gingham pattern midi length dress a feminine finish.",Cotton Blend Gingham V-Neck Midi Smock Dress,Online only,4.67,55,9,55,"10, 12, 14, 16, 18, 20, 22, 24, 8","Regular fit, Unlined",2026-01-16T11:44:00.052073Z,T838725Q
M&S,Home > Women > Dresses > Midi Dresses,"Wash at 30°C, Do not bleach, Do not tumble dry, Iron at low temperature, Professional dry clean",Midi Dresses,Navy,"95% viscose, 5% elastane",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8096G_F0_X_EC_0/Jersey-V-Neck-Button-Through-Empire-Line-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8096G_F0_X_EC_1/Jersey-V-Neck-Button-Through-Empire-Line-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8096G_F0_X_EC_2/Jersey-V-Neck-Button-Through-Empire-Line-Midi-Tea-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8096G_F0_X_EC_3/Jersey-V-Neck-Button-Through-Empire-Line-Midi-Tea-Dress","95% viscose, 5% elastane",https://www.marksandspencer.com/jersey-v-neck-button-through-empire-line-midi-tea-dress/p/clp23031203?color=NAVY,"This versatile Finery London tea dress is crafted from soft jersey for a comfortable feel. It's cut to a regular fit, with a V-neckline and under-bust seams for a flattering empire line silhouette. The short puff-sleeved design is finished with contrasting buttons that run down the front to a midi-length hem.",Jersey V-Neck Button Through Empire Line Midi Tea Dress,Online only,3.83,45,6,45,"10, 12, 14, 16, 18, 20, 22, 24, 8","Regular fit, Button fastening, Unlined",2026-01-16T11:44:03.451017Z,T838096G
M&S,Home > Women > Dresses,Machine wash according to instructions on care label,Dresses,Black,"98% cotton, 2% elastane",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8774E_Y0_X_EC_0/Denim-Ruched-Midi-Column-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8774E_Y0_X_EC_1/Denim-Ruched-Midi-Column-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8774E_Y0_X_EC_2/Denim-Ruched-Midi-Column-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/MS_10_T83_8774E_Y0_X_EC_3/Denim-Ruched-Midi-Column-Dress","98% cotton, 2% elastane",https://www.marksandspencer.com/denim-ruched-midi-column-dress/p/clp23021209?color=BLACK,"This denim dress by Sosandar is a great addition to your wardrobe. It's made in a regular fit with a ruched waist that creates a flattering silhouette. The column shape falls to a midi length with a split hem for easy movement. Practical popper fastenings run down the front from the collared neckline to the knee, making it perfect for dressing up or down.",Denim Ruched Midi Column Dress,N/A,5,79,2,79,"10, 12, 14, 16, 18, 20, 6, 8",Regular fit,2026-01-16T11:44:07.448484Z,T838774E
M&S,Home > Women > Dresses,"Do not wash, Do not bleach, Do not tumble dry, Iron at low temperature, Gentle professional dry clean",Dresses,Charcoal,"85% viscose, 15% wool (exclusive of trimmings), Lining - 100% viscose",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_09_T97_6340J_VP_X_EC_90/Embroidered-Midi-Skater-Dress-With-Wool","85% viscose, 15% wool (exclusive of trimmings), Lining - 100% viscose",https://www.marksandspencer.com/embroidered-midi-skater-dress-with-wool/p/clp60778202,"Embroidered flowers add a touch of detail to this dress, crafted with wool, by Jaeger. It's cut in a regular fit with a flattering fit-and-flare silhouette. A simple round neckline and long sleeves give a sophisticated look. Functional pockets at the sides and a neat button front add the finishing touches. Wear this piece with heeled boots to perfect your day-to-evening style.",Embroidered Midi Skater Dress With Wool,New,N/A,150,N/A,150,"10, 12, 14, 16, 18, 20, 6, 8","Product Length: Midi, Fit: Regular fit, Fastening: Button fastening, Unlined",2026-01-16T11:44:09.968983Z,T976340J
M&S,Home > Women > Dresses,"Wash at 40°C delicate, Do not bleach, Do not tumble dry, Do not iron, Professional dry clean",Dresses,Raisin,"97% polyester, 3% elastane (exclusive of trimmings)",GBP,"https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_0019_I7_X_EC_0/Jersey-Plisse-Midaxi-Skater-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_0019_I7_X_EC_90/Jersey-Plisse-Midaxi-Skater-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_0019_I7_X_EC_1/Jersey-Plisse-Midaxi-Skater-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_0019_I7_X_EC_2/Jersey-Plisse-Midaxi-Skater-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_0019_I7_X_EC_3/Jersey-Plisse-Midaxi-Skater-Dress, https://assets.digitalcontent.marksandspencer.app/images/w_2560,q_auto,f_auto/SD_01_T42_0019_I7_X_EC_4/Jersey-Plisse-Midaxi-Skater-Dress","97% polyester, 3% elastane (exclusive of trimmings)",https://www.marksandspencer.com/jersey-plisse-midaxi-skater-dress/p/clp60774960,"This jersey dress is crafted with plisse pleats for a textured effect. Flattering fitted shape, with added stretch in the fabric for comfort. The hem falls to a midaxi length for a sophisticated silhouette. Long sleeves and round neckline complete the piece. 
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",Jersey Plisse Midaxi Skater Dress,N/A,4.5,36,8,36,"10, 12, 14, 16, 18, 20, 22, 24, 6, 8, Petite, Regular, Tall","Fitted, Added Stretch",2026-01-16T11:44:13.625915Z,T420019
